Bulbasaur - Score: 57 (Vida: 50, Daño: 5, Defensa: 2) => Malo
Goldeen - Score: 148 (Vida: 120, Daño: 20, Defensa: 8) => Decente
Koffing - Score: 149 (Vida: 130, Daño: 17, Defensa: 2) => Decente
Wartortle - Score: 150 (Vida: 120, Daño: 26, Defensa: 4) => Decente
Tauros - Score: 150 (Vida: 120, Daño: 26, Defensa: 4) => Decente
Arcanine - Score: 151 (Vida: 130, Daño: 11, Defensa: 10) => Decente
Diglett - Score: 152 (Vida: 140, Daño: 8, Defensa: 4) => Decente
Rapidash - Score: 152 (Vida: 120, Daño: 20, Defensa: 12) => Decente
Bellsprout - Score: 153 (Vida: 130, Daño: 17, Defensa: 6) => Decente
Grimer - Score: 154 (Vida: 120, Daño: 26, Defensa: 8) => Decente
Slowpoke - Score: 155 (Vida: 130, Daño: 23, Defensa: 2) => Decente
Caterpie - Score: 156 (Vida: 140, Daño: 8, Defensa: 8) => Decente
Gyarados - Score: 156 (Vida: 140, Daño: 8, Defensa: 8) => Decente
Nidoran♀ - Score: 157 (Vida: 130, Daño: 17, Defensa: 10) => Decente
Dragonite - Score: 157 (Vida: 130, Daño: 17, Defensa: 10) => Decente
Raticate - Score: 158 (Vida: 140, Daño: 14, Defensa: 4) => Decente
Venonat - Score: 158 (Vida: 120, Daño: 26, Defensa: 12) => Decente
Kabuto - Score: 158 (Vida: 140, Daño: 14, Defensa: 4) => Decente
Jigglypuff - Score: 159 (Vida: 130, Daño: 23, Defensa: 6) => Decente
Shellder - Score: 160 (Vida: 140, Daño: 8, Defensa: 12) => Decente
Voltorb - Score: 162 (Vida: 140, Daño: 14, Defensa: 8) => Decente
Seaking - Score: 163 (Vida: 130, Daño: 23, Defensa: 10) => Decente
Weezing - Score: 164 (Vida: 140, Daño: 20, Defensa: 4) => Decente
Poliwag - Score: 166 (Vida: 140, Daño: 14, Defensa: 12) => Decente
Weepinbell - Score: 168 (Vida: 140, Daño: 20, Defensa: 8) => Decente
Slowbro - Score: 170 (Vida: 140, Daño: 26, Defensa: 4) => Decente
Nidorina - Score: 172 (Vida: 140, Daño: 20, Defensa: 12) => Decente
Mewtwo - Score: 172 (Vida: 140, Daño: 20, Defensa: 12) => Decente
Wigglytuff - Score: 174 (Vida: 140, Daño: 26, Defensa: 8) => Decente
Staryu - Score: 178 (Vida: 140, Daño: 26, Defensa: 12) => Decente
